"アーティスト特集 MONTHLY 演歌／歌謡曲","C","62"
"週間 USEN HIT 洋楽ランキング","A","30"
"週間 USEN HIT CLASSIC ROCKランキング","C","66"
"週間 USEN HIT J-POP／洋楽ランキング","A","51"
"週間 レコチョク 洋楽ランキング","C","63"
"週間 Billboard 全米チャート","A","28"
"最新☆洋楽","B","30"
"最新☆J-POP＆洋楽","I","01"
"洋楽 2010's Hits ","B","06"
"洋楽 2000's Hits ","B","35"
"洋楽 90's Hits ","B","28"
"洋楽 80's Hits ","B","27"
"洋楽 70's Hits ","B","26"
"洋楽 60's Hits ","F","22"
"洋楽☆ヒットパレード","A","07"
"R30 Hits ","A","21"
"R40 Hits ","A","22"
"R50 Hits ","A","23"
"ヤング☆ナツメロ","A","36"
"チャートタイムマシン 洋楽","D","48"
"懐かしのディスコ☆ヒッツ","C","55"
"ROCK＆SOUL名曲選","B","24"
"ロック＆ポップス・ステーション","A","39"
"ROCK ","B","20"
"ROCK CLASSICS ","B","19"
"POP PUNK ","B","21"
"PUNK CLASSICS ","B","62"
"HEAVY METAL SOUNDHOUSE（ 伊藤政則） ","B","58"
"EDM ","B","25"
"EDM POP Style ","C","39"
"GIRLS POP ","C","02"
"A.O.R.（ 中田利樹） ","B","51"
"SOFT ROCK ","C","03"
"オールディーズ","A","18"
"オールディーズ・バラード","J","16"
"S盤アワー","I","53"
"UK ROCK Styling ","I","55"
"北欧ポップス","I","29"
"Colorful Pop Styling ","C","06"
"■ Colorful Pop Styling（Instrumental） ","I","23"
"Swingin' Pops ","I","30"
"Happy Wedding Selection ","D","44"
"Happy Birthday！ ","J","39"
"Organic SSW ～Slow Life Music～ ","C","08"
"ネオ・サーフ・ミュージック","I","18"
"CONTEMPORARY VOCAL ","B","14"
"ラヴバラード 洋楽","C","11"
"ホットドライヴ 洋楽","C","13"
"モーニングタイム 洋楽","I","13"
"ランチタイム 洋楽","I","14"
"ディナータイム 洋楽","I","15"
"バータイム 洋楽","I","16"
"サウンドトラック","D","49"
"rockin'on channel ","D","41"
"LONDON NITE（ 大貫憲章） ","C","57"
"KSSK FM（ POP Hits Hawaii） ","C","70"
"ザ・ビートルズ","B","23"
"エルヴィス・プレスリー","B","22"
"カーペンターズ","B","41"
"エリック・クラプトン","B","42"
"ボブ・ディラン","B","43"
"ザ・ローリング・ストーンズ","B","44"
"マイケル・ジャクソン","B","45"
"エヴァーグリーン J-POP／洋楽","B","57"
"アーティスト特集 MONTHLY 洋楽","A","55"
"アーティスト特集 WEEKLY 洋楽","A","56"
"Billboard Live TOKYO ","B","69"
"NEW DISC 洋楽","A","35"
"NEW DISC ROCK ","C","48"
"ブラックミュージック・ステーション","A","40"
"HIP HOP＋R＆B（ Manhattan Records） ","C","44"
"R＆B ","B","15"
"R＆B CLASSICS ","B","07"
"HIP HOP ","B","16"
"HIP HOP CLASSICS ","B","08"
"JAZZ HIP HOP ","I","33"
"usen for Free Soul ","C","61"
"Organic Soul ","C","07"
"ソウル","B","17"
"ROCK＆SOUL名曲選","B","24"
"ブルース","B","18"
"ファンク","D","45"
"レゲエ","B","29"
"ハワイアン・レゲエ","I","59"
"LOVERS ROCK ","I","32"
"ダンスホールレゲエ（ROCKER'S ISLAND） ","C","53"
"SOCA ～HOT BEACH～ ","D","42"
"ディナータイム 洋楽","I","15"
"バータイム 洋楽","I","16"
"HOT 97 FM（ HIP HOP ＆ R＆B N.Y.） ","C","69"
"週間 Billboard R＆B／HIP HOPチャート","C","64"
"週間 Billboard 全米チャート","A","28"
"週間 USEN HIT 洋楽ランキング","A","30"
"週間 USEN HIT J-POP／洋楽ランキング","A","51"
